"isEnabled","uuid:ID","instanceType","name","datatype","label","isRequired","id"
"True","be2d3f7e-5f74-4d23-8ebd-38a99cde085e","BiomedicalConceptProperty","DSDECOD","text","DSDECOD","True","BiomedicalConceptProperty_116"
"True","4e6dacb7-1b7b-4dc9-815a-1f1206118b8a","BiomedicalConceptProperty","DSTERM","text","DSTERM","True","BiomedicalConceptProperty_117"
"True","eac2b274-646f-4c38-ad60-57a634bd8a43","BiomedicalConceptProperty","DSSTDTC","datetime","DSSTDTC","True","BiomedicalConceptProperty_118"
"True","25d47ba8-6ee1-42f5-8356-db15dbe7090a","BiomedicalConceptProperty","Sex","string","Sex","True","BiomedicalConceptProperty_119"
"True","5c9b349c-923d-4391-9aba-778eadc6aa12","BiomedicalConceptProperty","Race","string","Race","True","BiomedicalConceptProperty_120"
"True","503ee70b-35af-4abc-9ff7-21d3602f8f2a","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_121"
"True","1e277349-4214-4677-a289-c854955a79f3","BiomedicalConceptProperty","VSORRES","float","VSORRES","True","BiomedicalConceptProperty_122"
"True","c8fb2538-e629-40d5-bbf6-752eed67db6b","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_123"
"True","4fd60e0b-1e76-4a3f-8050-71c323f4b8a2","BiomedicalConceptProperty","VSLOC","","VSLOC","True","BiomedicalConceptProperty_124"
"True","1de06563-ba60-4830-97d8-b2114f7cc90a","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_125"
"True","b084abdb-f557-4de9-b0ad-f9d4b43bf1ba","BiomedicalConceptProperty","VSORRES","float","VSORRES","True","BiomedicalConceptProperty_126"
"True","dce54976-bbc2-4e70-8eb2-65da5b5eca2d","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_127"
"True","c2369420-5d7d-48c0-93a3-337a5afdd5af","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_128"
"True","c532146d-3cca-4d75-b0d3-e76218248b2d","BiomedicalConceptProperty","VSORRES","float","VSORRES","True","BiomedicalConceptProperty_129"
"True","084686b5-cb15-4c26-8cc0-157e4800eb69","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_130"
"True","0fe6e52b-9d77-479a-ad91-93aa0342f701","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_131"
"True","4ab0f768-4bdc-43ab-a276-ed0a6dce74e2","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_132"
"True","b2350a8a-4e56-463f-b2a5-d99ded779b36","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_133"
"True","6fd6ff2b-1b1f-4540-846d-404bfa31e24b","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_134"
"True","253c45ef-a463-4006-9c0f-165923de476d","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_135"
"True","f4d507fb-c5d4-4698-b8ce-2276f5414210","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_136"
"True","61821e91-d6dc-4e29-a440-5cfa98e59936","BiomedicalConceptProperty","LBORRES","text","LBORRES","True","BiomedicalConceptProperty_137"
"True","d48c5574-e9bb-49cc-aef4-c2588e4da2e6","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_138"
"True","b990d146-d775-477f-ad73-9b47ea5184e2","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_139"
"True","28663761-fc6c-4195-89f6-b53c63e1bc76","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_140"
"True","93939cfc-0d68-4c07-99fa-05042eaee008","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_141"
"True","92bb1286-d2b5-4c34-b6d2-245c84e56deb","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_142"
"True","1f3556dd-89b4-4b7c-88d7-bbd30a4e5437","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_143"
"True","a7fdea87-80eb-4046-b90c-a8ece3754045","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_144"
"True","66bbb37c-d880-4c3a-bd73-f0196e876126","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_145"
"True","08cf7b44-a89f-4cc5-9b0f-183128fa97bb","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_146"
"True","4b56eb97-e152-46df-b4bc-939e5cc6cb15","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_147"
"True","7757c9b1-624b-431d-97f3-a9f222fb65b7","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_148"
"True","18a87dcf-ebfd-47ae-b3e7-19d8c61f46f1","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_149"
"True","cee04ba8-9766-4a8e-bd3f-bd9eee6d3cae","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_150"
"True","b2a78a3a-1618-4e83-889d-2fcf3a5c6041","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_151"
"True","e034df29-c4c0-4475-b848-c5439a15536f","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_152"
"True","d5273614-74cf-426e-80bf-88c39ec3f055","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_153"
"True","343bfce8-3c66-4f92-997c-120c1e9b7559","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_154"
"True","536a8875-3334-4c14-ab7d-a1cd781e2387","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_155"
"True","c3c54b2a-e74e-4268-881c-58845b9685f2","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_156"
"True","0786da19-8112-4678-aaad-70352130281e","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_157"
"True","dc2a862b-121e-484e-b03d-7cd3006996cc","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_158"
"True","ff005759-4cb1-42eb-bc39-4e68c83d5771","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_159"
"True","ce5c7bf3-7a1a-4493-ac2c-b31125b0a2ea","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_160"
"True","9c894f29-0c7f-462c-97f6-a8da1d78b22d","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_161"
"True","ef18dc55-44a4-4f3e-867c-2f28967d23d3","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_162"
"True","61398e2c-7709-4448-8051-25c340261e7b","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_163"
"True","41a73cf7-5170-4a21-8884-e05f3c36540b","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_164"
"True","cbfff329-da6b-434c-8bfa-d21e7eb30192","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_165"
"True","db3f5809-39cc-4474-80d0-4ead03c6e147","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_166"
"True","2a70db8a-8eb0-4218-a501-28cc866f49cd","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_167"
"True","e670d4b4-1b5b-43bd-a471-699db8127a33","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_168"
"True","4e36cd23-f327-4fd9-8ec3-34988dca364a","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_169"
"True","7f6475ce-8022-499a-a3ba-bb4e0a8e6077","BiomedicalConceptProperty","AETERM","text","AETERM","True","BiomedicalConceptProperty_1"
"True","88aeb1b9-453d-4012-b66e-ff4ce0e9152a","BiomedicalConceptProperty","AEDECOD","text","AEDECOD","True","BiomedicalConceptProperty_2"
"True","9964a144-3123-404b-ab88-69e0f9d2b622","BiomedicalConceptProperty","AEPRESP","text","AEPRESP","True","BiomedicalConceptProperty_3"
"True","32c1c084-95e9-43dd-87c7-d26b04f8d89f","BiomedicalConceptProperty","AELOC","text","AELOC","True","BiomedicalConceptProperty_4"
"True","4bb5fd48-4c36-4498-a9e8-8a1fc1740500","BiomedicalConceptProperty","AESEV","text","AESEV","True","BiomedicalConceptProperty_5"
"True","4ece29e4-0370-49f0-8e56-57926808375e","BiomedicalConceptProperty","AESER","text","AESER","True","BiomedicalConceptProperty_6"
"True","28455fb4-024a-47b4-a212-6a360201464e","BiomedicalConceptProperty","AEACN","text","AEACN","True","BiomedicalConceptProperty_7"
"True","66d095c9-21fc-475c-83e6-72a023274aa9","BiomedicalConceptProperty","AEACNOTH","text","AEACNOTH","True","BiomedicalConceptProperty_8"
"True","18ad8138-9ff9-41c2-8831-821ddfbf0438","BiomedicalConceptProperty","AEREL","text","AEREL","True","BiomedicalConceptProperty_9"
"True","0f39a952-21a2-4d34-b4b2-8a31bb8002ec","BiomedicalConceptProperty","AERELNST","text","AERELNST","True","BiomedicalConceptProperty_10"
"True","e633a9c1-1a1a-4760-88a9-582f3e74b881","BiomedicalConceptProperty","AEPATT","text","AEPATT","True","BiomedicalConceptProperty_11"
"True","afebabae-b642-454f-83be-40380dae0077","BiomedicalConceptProperty","AEOUT","text","AEOUT","True","BiomedicalConceptProperty_12"
"True","2a6158fc-08b0-4db9-9d31-a117a3b414c8","BiomedicalConceptProperty","AESCAN","text","AESCAN","True","BiomedicalConceptProperty_13"
"True","49c0d0a2-4b14-4822-939e-0943dd75ff4b","BiomedicalConceptProperty","AESCONG","text","AESCONG","True","BiomedicalConceptProperty_14"
"True","c2ce700e-81b0-4468-99a5-5624fa679800","BiomedicalConceptProperty","AESDISAB","text","AESDISAB","True","BiomedicalConceptProperty_15"
"True","f7aa7a38-972c-46f8-9654-e2a089c6bdd5","BiomedicalConceptProperty","AESDTH","text","AESDTH","True","BiomedicalConceptProperty_16"
"True","e6f830c7-ca6a-42f5-a9e2-e7b54ed373f9","BiomedicalConceptProperty","AESHOSP","text","AESHOSP","True","BiomedicalConceptProperty_17"
"True","95006858-782a-4f3b-88ec-912b356bf1e9","BiomedicalConceptProperty","AESLIFE","text","AESLIFE","True","BiomedicalConceptProperty_18"
"True","e49aee63-c33f-4d9d-998f-a21f3c6a0ec4","BiomedicalConceptProperty","AESOD","text","AESOD","True","BiomedicalConceptProperty_19"
"True","ac7b8916-dd33-4beb-8c4e-28a526c5fddc","BiomedicalConceptProperty","AESMIE","text","AESMIE","True","BiomedicalConceptProperty_20"
"True","720f7971-943f-4bda-9bc2-f6427b1e4f58","BiomedicalConceptProperty","AECONTRT","text","AECONTRT","True","BiomedicalConceptProperty_21"
"True","1efc21f3-a2e3-4823-89db-273cc7601ca8","BiomedicalConceptProperty","AESTDTC","datetime","AESTDTC","True","BiomedicalConceptProperty_22"
"True","76f2e3f5-8d8c-4ff2-bd76-e49f1a1df6c9","BiomedicalConceptProperty","AEENDTC","datetime","AEENDTC","True","BiomedicalConceptProperty_23"
"True","460da1bb-c0fb-49ef-9cf9-125752f07959","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_24"
"True","3775bbea-3951-4489-bc0d-782b198bb065","BiomedicalConceptProperty","VSORRES","integer","VSORRES","True","BiomedicalConceptProperty_25"
"True","dbf2ee2b-0237-4863-afa0-df415b190a86","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_26"
"True","f07e30db-2714-417a-83c1-3d6615969d7e","BiomedicalConceptProperty","VSPOS","","VSPOS","True","BiomedicalConceptProperty_27"
"True","45135f1a-e4c5-4302-8534-f2690c243947","BiomedicalConceptProperty","VSLOC","","VSLOC","True","BiomedicalConceptProperty_28"
"True","7dfea954-06c3-4416-9a51-a2d9c59ddf55","BiomedicalConceptProperty","VSLAT","","VSLAT","True","BiomedicalConceptProperty_29"
"True","6123c276-44a4-4f75-aadd-ea33b9aa469d","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_30"
"True","fb421970-b5f9-4885-a14f-99f149e4b7a4","BiomedicalConceptProperty","VSORRES","integer","VSORRES","True","BiomedicalConceptProperty_31"
"True","e45961c7-d1d8-49e3-bdba-b44be1c8eba7","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_32"
"True","4b1a0fa3-2021-444c-981e-2d7139932e3b","BiomedicalConceptProperty","VSPOS","","VSPOS","True","BiomedicalConceptProperty_33"
"True","c0836d01-fec7-4088-a234-eb3539de0420","BiomedicalConceptProperty","VSLOC","","VSLOC","True","BiomedicalConceptProperty_34"
"True","7b929e26-dfc7-477a-b1f0-f7b13d47e03b","BiomedicalConceptProperty","VSLAT","","VSLAT","True","BiomedicalConceptProperty_35"
"True","248d54ad-021e-4cc0-a40c-08240eedb678","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_36"
"True","17bd13af-6176-46a1-814c-a74023146825","BiomedicalConceptProperty","VSORRES","float","VSORRES","True","BiomedicalConceptProperty_37"
"True","f69d6949-2419-4867-946c-fbb683ce760d","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_38"
"True","13e7876c-f896-4518-a966-6f9f386e74f0","BiomedicalConceptProperty","VSLOC","","VSLOC","True","BiomedicalConceptProperty_39"
"True","2a3272ef-24b0-4cfc-b52a-b222c71e15c4","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_40"
"True","41a8d14e-2f75-4df0-8668-1280e96689ea","BiomedicalConceptProperty","VSORRES","float","VSORRES","True","BiomedicalConceptProperty_41"
"True","bafb5e8b-515b-4dae-b785-a9aea89d901a","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_42"
"True","1f1a5359-ef93-4405-9cbc-e295915a2e44","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_43"
"True","73914988-4a9e-4fb0-96ae-05c4ae3e4831","BiomedicalConceptProperty","VSORRES","float","VSORRES","True","BiomedicalConceptProperty_44"
"True","83a6dcc6-93a4-4a92-8745-20fbdce2b992","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_45"
"True","7411a0d2-9aa9-4dad-89b1-9ca5b054ad59","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_46"
"True","93536c83-e176-4769-816f-61fc64d187fa","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_47"
"True","6b683731-267c-46dd-a065-977e7f1708b4","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_48"
"True","49825cb2-1212-4ba1-9412-41c64fb32def","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_49"
"True","420169a6-5c2c-4ba8-8929-b71d034ec642","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_50"
"True","81568e93-3d3d-467c-a533-8067d3529401","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_51"
"True","8c148564-4fbb-41b7-bf5c-d5a6bdb941e9","BiomedicalConceptProperty","LBORRES","text","LBORRES","True","BiomedicalConceptProperty_52"
"True","bb4ab18c-3dfe-4b09-80a6-9e47ce9f573f","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_53"
"True","d68a912e-0b1c-4480-894c-90b8d8b0d988","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_54"
"True","c762c5fc-1007-4a2f-9e2d-e026eae0d679","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_55"
"True","bdb4bec0-8feb-48d7-ba62-8e4f5a6d21cd","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_56"
"True","e8783ad3-2ecc-4e7e-8e8d-c33fb26fa7d4","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_57"
"True","6a365a0b-2a2c-41a9-a749-64aa3acf1f27","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_58"
"True","67516f36-c65d-4ba7-a8e5-e2bba59be028","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_59"
"True","96ba0d95-3d10-4bb7-8791-ceee47bf6bfe","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_60"
"True","a6356257-0818-4f33-97f6-2c86a9ff31a3","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_61"
"True","1e32ee22-1d34-42c2-b827-f4b9fc0efbe3","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_62"
"True","0aa153ad-104e-49ed-8a07-82559056cd31","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_63"
"True","b498ef88-1751-4984-80a7-1834ea06ba47","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_64"
"True","8c63278c-8b9d-4b26-9790-e5852dde943f","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_65"
"True","e4b286c2-b433-4499-81e4-bbbd28773f56","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_66"
"True","2b895410-a84c-4e11-995a-f03893995b73","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_67"
"True","14c91f5e-f6df-4f16-bd89-d2285d32e508","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_68"
"True","654a1a1a-757d-4d47-9b04-4ce8bab4fc5a","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_69"
"True","c47f0065-8b60-4f79-b1f3-a83ae041cf27","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_70"
"True","54c46680-d366-493c-b84a-33f641bc59a0","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_71"
"True","d55520b5-7a47-4650-a9ee-1cd1eeead38a","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_72"
"True","62b244a5-2c37-456e-ac76-5d2884bf9e0c","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_73"
"True","578d226f-f9dd-49bb-ab90-5582b44f4786","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_74"
"True","20c7b092-1ac2-474c-bd04-dd95facfdf5c","BiomedicalConceptProperty","LBTESTCD","","LBTESTCD","True","BiomedicalConceptProperty_75"
"True","161b8c4f-cbe5-4048-8b89-09633f7f8b4c","BiomedicalConceptProperty","LBORRES","float","LBORRES","True","BiomedicalConceptProperty_76"
"True","f28d6580-832f-4cea-8efb-6461d8e307c8","BiomedicalConceptProperty","LBORRESU","","LBORRESU","True","BiomedicalConceptProperty_77"
"True","e020115b-5aaf-4464-b2b4-bd93e2d51af0","BiomedicalConceptProperty","LBSPEC","","LBSPEC","True","BiomedicalConceptProperty_78"
"True","77990321-d970-435d-8abf-b685ed941d97","BiomedicalConceptProperty","LBFAST","","LBFAST","True","BiomedicalConceptProperty_79"
"True","3b5a8721-eb4d-4377-b416-c19998304694","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_80"
"True","d72d70ad-4d82-4aaa-9348-c0905801ba76","BiomedicalConceptProperty","VSORRES","integer","VSORRES","True","BiomedicalConceptProperty_81"
"True","abcd43e7-7ee6-4073-852a-2480b0b3b9a4","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_82"
"True","2c598f9e-8692-43bc-8414-3f217b219db4","BiomedicalConceptProperty","VSPOS","","VSPOS","True","BiomedicalConceptProperty_83"
"True","f723cdf0-824a-43c2-a7f5-87a6c22be86d","BiomedicalConceptProperty","VSLOC","","VSLOC","True","BiomedicalConceptProperty_84"
"True","fa8e0b62-6181-4347-9c5e-fc39b2a4e5cb","BiomedicalConceptProperty","VSLAT","","VSLAT","True","BiomedicalConceptProperty_85"
"True","bacf8861-7405-4514-825e-e64bbd81f234","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_86"
"True","318a7038-fa20-4dc3-9134-c1a0bf8fc35a","BiomedicalConceptProperty","VSORRES","integer","VSORRES","True","BiomedicalConceptProperty_87"
"True","42e147c0-24da-4033-88a0-debb9dc1463d","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_88"
"True","2d606dab-74bb-468c-8f65-d1e14f527c48","BiomedicalConceptProperty","VSPOS","","VSPOS","True","BiomedicalConceptProperty_89"
"True","f39096e8-6f44-42dd-af11-c5e3a61a3da2","BiomedicalConceptProperty","VSLOC","","VSLOC","True","BiomedicalConceptProperty_90"
"True","09e6767d-9ada-4a19-9c6c-63aafe7d6906","BiomedicalConceptProperty","VSLAT","","VSLAT","True","BiomedicalConceptProperty_91"
"True","37817df1-d9e4-48f8-9db5-3bcf0e9610c7","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_92"
"True","bdcf45ab-de95-4467-8999-40c672effd63","BiomedicalConceptProperty","VSORRES","integer","VSORRES","True","BiomedicalConceptProperty_93"
"True","690756c7-1d37-4807-80c1-5f7125f8a441","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_94"
"True","6ed71692-a2a1-4279-9ec3-c2522256a0a4","BiomedicalConceptProperty","VSPOS","","VSPOS","True","BiomedicalConceptProperty_95"
"True","e7f9eecf-99da-4b61-9f00-8b6fb39a4da1","BiomedicalConceptProperty","VSLOC","","VSLOC","True","BiomedicalConceptProperty_96"
"True","0534358e-5c15-4930-8875-a5b1859203df","BiomedicalConceptProperty","VSLAT","","VSLAT","True","BiomedicalConceptProperty_97"
"True","e0bf9dee-6927-4eab-b8ed-56992c22f6f2","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_98"
"True","ad06bd7f-dea6-4bff-9dc9-aee86ed6bbc9","BiomedicalConceptProperty","VSORRES","integer","VSORRES","True","BiomedicalConceptProperty_99"
"True","2b8e1f56-842f-48e7-97f2-9720d88e92dc","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_100"
"True","7369dbac-b3ac-42e6-be08-c6f98ce57d47","BiomedicalConceptProperty","VSPOS","","VSPOS","True","BiomedicalConceptProperty_101"
"True","d5599759-3f48-40d9-a3be-33b9587f7d4c","BiomedicalConceptProperty","VSLOC","","VSLOC","True","BiomedicalConceptProperty_102"
"True","2429ba20-9e84-4eb6-a2c8-0454073a55cd","BiomedicalConceptProperty","VSLAT","","VSLAT","True","BiomedicalConceptProperty_103"
"True","4509d7e0-add1-4951-8c68-9ef5cbf52963","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_104"
"True","0dc45423-0425-41c9-8605-5791bb9319d0","BiomedicalConceptProperty","VSORRES","integer","VSORRES","True","BiomedicalConceptProperty_105"
"True","9cca2f07-e28a-4417-a323-e7e2ca937e0e","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_106"
"True","c0e0c356-eb21-45a2-a6ce-1c6ba73a66b0","BiomedicalConceptProperty","VSPOS","","VSPOS","True","BiomedicalConceptProperty_107"
"True","ce6f7ed3-b7cc-41a5-86b9-67094e5d6fb2","BiomedicalConceptProperty","VSLOC","","VSLOC","True","BiomedicalConceptProperty_108"
"True","df7c3f3d-1e90-4adc-be5a-66d70d2fbc29","BiomedicalConceptProperty","VSLAT","","VSLAT","True","BiomedicalConceptProperty_109"
"True","ee4091c5-b9e8-4a24-b6d1-659e3ba735b3","BiomedicalConceptProperty","VSTESTCD","","VSTESTCD","True","BiomedicalConceptProperty_110"
"True","9f5a8884-6f24-4df7-9078-2b08a20090c0","BiomedicalConceptProperty","VSORRES","integer","VSORRES","True","BiomedicalConceptProperty_111"
"True","65dfa092-5df3-4222-a0cc-6ef39c6ed847","BiomedicalConceptProperty","VSORRESU","","VSORRESU","True","BiomedicalConceptProperty_112"
"True","d972adef-7a76-4e03-a17f-cb6633336543","BiomedicalConceptProperty","VSPOS","","VSPOS","True","BiomedicalConceptProperty_113"
"True","75b20ba4-c93e-4337-afb6-1683ffecb293","BiomedicalConceptProperty","VSLOC","","VSLOC","True","BiomedicalConceptProperty_114"
"True","a56f049e-148c-40b0-abb8-10e73f779b2c","BiomedicalConceptProperty","VSLAT","","VSLAT","True","BiomedicalConceptProperty_115"
